"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "XML", "Markdown", "JSON", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"c:\aspirants-nextjs-auth\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\aspirants-nextjs-auth\app\api\auth\error\route.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\aspirants-nextjs-auth\app\api\auth\middleware\route.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 9, 41
"c:\aspirants-nextjs-auth\app\api\custom-notes.ts\route.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\aspirants-nextjs-auth\app\api\custom-question-banks\create\route.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 7, 62
"c:\aspirants-nextjs-auth\app\api\custom-question-banks\delete\route.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\aspirants-nextjs-auth\app\api\custom-question-banks\edit\route.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\aspirants-nextjs-auth\app\api\custom-question-banks\get\route.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\aspirants-nextjs-auth\app\api\custom-questions\route.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 5, 39
"c:\aspirants-nextjs-auth\app\api\custom-user-answers\route.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 11, 57
"c:\aspirants-nextjs-auth\app\api\custom-user-performance\get\route.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\aspirants-nextjs-auth\app\api\custom-user-performance\update\route.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 8, 97
"c:\aspirants-nextjs-auth\app\api\custom-user-progress\route.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 11, 65
"c:\aspirants-nextjs-auth\app\api\deleteNote\route.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 7, 34
"c:\aspirants-nextjs-auth\app\api\hooks\useManageRoles.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\aspirants-nextjs-auth\app\api\hooks\useUserRole.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\aspirants-nextjs-auth\app\api\issues\[id]\route.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 13, 75
"c:\aspirants-nextjs-auth\app\api\issues\route.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 3, 59
"c:\aspirants-nextjs-auth\app\api\markComplete\route.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\aspirants-nextjs-auth\app\api\markForReview\route.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\aspirants-nextjs-auth\app\api\notes\route.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\aspirants-nextjs-auth\app\api\openai\route.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 5, 26, 120
"c:\aspirants-nextjs-auth\app\api\policy\accept\route.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 7, 46
"c:\aspirants-nextjs-auth\app\api\questions\batch-upload\route.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 8, 71
"c:\aspirants-nextjs-auth\app\api\questions\route.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 13, 125
"c:\aspirants-nextjs-auth\app\api\saveNote\route.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 7, 36
"c:\aspirants-nextjs-auth\app\api\settings\account-settings\route.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\aspirants-nextjs-auth\app\api\settings\profile-settings\route.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\aspirants-nextjs-auth\app\api\user-answers\route.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\aspirants-nextjs-auth\app\api\user-performance\get\route.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\aspirants-nextjs-auth\app\api\user-performance\update\route.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 8, 97
"c:\aspirants-nextjs-auth\app\api\user-progress\route.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 11, 64
"c:\aspirants-nextjs-auth\app\api\user\delete\route.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 8, 39
"c:\aspirants-nextjs-auth\app\api\user\get\route.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 7, 48
"c:\aspirants-nextjs-auth\app\api\user\role\route.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 14, 88
"c:\aspirants-nextjs-auth\app\apply\ApplicationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 9, 155
"c:\aspirants-nextjs-auth\app\apply\ApplyClientWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 8, 68
"c:\aspirants-nextjs-auth\app\apply\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
"c:\aspirants-nextjs-auth\app\apply\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\aspirants-nextjs-auth\app\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 8, 36
"c:\aspirants-nextjs-auth\app\components\avatar-circles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\aspirants-nextjs-auth\app\components\blog-author.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 74
"c:\aspirants-nextjs-auth\app\components\blog-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 41
"c:\aspirants-nextjs-auth\app\components\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 2, 71
"c:\aspirants-nextjs-auth\app\components\features-horizontal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 316, 0, 0, 0, 27, 343
"c:\aspirants-nextjs-auth\app\components\features-vertical.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 310, 0, 0, 1, 28, 339
"c:\aspirants-nextjs-auth\app\components\icons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 2, 139
"c:\aspirants-nextjs-auth\app\components\magicui\blur-fade.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 4, 61
"c:\aspirants-nextjs-auth\app\components\magicui\border-beam.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 5, 50
"c:\aspirants-nextjs-auth\app\components\magicui\dot-pattern.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 3, 52
"c:\aspirants-nextjs-auth\app\components\magicui\flickering-grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 166, 0, 0, 2, 27, 195
"c:\aspirants-nextjs-auth\app\components\magicui\hero-video.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 7, 141
"c:\aspirants-nextjs-auth\app\components\magicui\marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 3, 52
"c:\aspirants-nextjs-auth\app\components\magicui\ripple.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"c:\aspirants-nextjs-auth\app\components\menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 6, 111
"c:\aspirants-nextjs-auth\app\components\pie-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 5, 67
"c:\aspirants-nextjs-auth\app\components\radial-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 4, 77
"c:\aspirants-nextjs-auth\app\components\safari.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 3, 154
"c:\aspirants-nextjs-auth\app\components\section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 2, 46
"c:\aspirants-nextjs-auth\app\components\sections\blog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\aspirants-nextjs-auth\app\components\sections\cta.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\aspirants-nextjs-auth\app\components\sections\faq.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 42
"c:\aspirants-nextjs-auth\app\components\sections\features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\aspirants-nextjs-auth\app\components\sections\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 3, 65
"c:\aspirants-nextjs-auth\app\components\sections\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 9, 86
"c:\aspirants-nextjs-auth\app\components\sections\hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 9, 154
"c:\aspirants-nextjs-auth\app\components\sections\how-it-works.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
"c:\aspirants-nextjs-auth\app\components\sections\logos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\aspirants-nextjs-auth\app\components\sections\pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 9, 140
